Period,cds
14/01/2026,7.339
13/01/2026,7.323
12/01/2026,7.411
09/01/2026,7.463
08/01/2026,7.465
07/01/2026,7.537
06/01/2026,7.502
05/01/2026,7.491
02/01/2026,7.481
01/01/2026,7.275
31/12/2025,7.268
30/12/2025,7.474
29/12/2025,7.499
26/12/2025,7.322
25/12/2025,7.307
24/12/2025,7.254
23/12/2025,7.666
22/12/2025,7.497
19/12/2025,7.768
18/12/2025,7.907
17/12/2025,7.685
16/12/2025,7.646
15/12/2025,7.814
12/12/2025,7.965
11/12/2025,7.768
10/12/2025,7.819
09/12/2025,7.881
08/12/2025,7.543
05/12/2025,8.209
04/12/2025,7.959
03/12/2025,7.929
02/12/2025,7.941
01/12/2025,7.953
28/11/2025,8.162
27/11/2025,8.243
26/11/2025,8.293
25/11/2025,8.43
24/11/2025,8.22
21/11/2025,8.48
20/11/2025,8.255
19/11/2025,8.37
18/11/2025,8.356
17/11/2025,8.141
14/11/2025,7.915
13/11/2025,8.139
12/11/2025,8.578
11/11/2025,8.661
10/11/2025,8.622
07/11/2025,8.775
06/11/2025,8.835
05/11/2025,8.819
04/11/2025,8.91
03/11/2025,8.727
31/10/2025,8.74
30/10/2025,8.75
29/10/2025,8.835
28/10/2025,8.854
27/10/2025,8.825
24/10/2025,8.905
23/10/2025,8.859
22/10/2025,8.969
21/10/2025,8.823
20/10/2025,8.725
17/10/2025,8.885
16/10/2025,8.732
15/10/2025,8.639
14/10/2025,8.837
13/10/2025,8.717
10/10/2025,8.849
09/10/2025,8.833
08/10/2025,8.726
07/10/2025,8.815
06/10/2025,8.695
03/10/2025,8.797
02/10/2025,8.855
01/10/2025,8.856
30/09/2025,8.873
29/09/2025,8.742
26/09/2025,8.803
25/09/2025,9.105
24/09/2025,8.557
23/09/2025,8.828
22/09/2025,8.478
19/09/2025,7.227
18/09/2025,7.446
17/09/2025,7.183
16/09/2025,7.314
15/09/2025,7.064
12/09/2025,7.662
11/09/2025,7.552
10/09/2025,7.648
09/09/2025,7.883
08/09/2025,8.148
05/09/2025,7.998
04/09/2025,8.129
03/09/2025,8.578
02/09/2025,8.188
01/09/2025,8.144
29/08/2025,8.37
28/08/2025,8.272
27/08/2025,8.017
26/08/2025,7.978
25/08/2025,7.643
22/08/2025,7.51
21/08/2025,8.105
20/08/2025,7.903
19/08/2025,8.05
18/08/2025,7.757
15/08/2025,7.626
14/08/2025,7.595
13/08/2025,7.995
12/08/2025,7.682
11/08/2025,7.594
08/08/2025,7.99
07/08/2025,7.802
06/08/2025,7.991
05/08/2025,8.035
04/08/2025,8.324
01/08/2025,8.348
31/07/2025,8.128
30/07/2025,8.197
29/07/2025,8.463
28/07/2025,7.943
25/07/2025,8.284
24/07/2025,7.825
23/07/2025,8.391
22/07/2025,8.384
21/07/2025,8.643
18/07/2025,8.438
17/07/2025,8.491
16/07/2025,8.231
15/07/2025,8.392
14/07/2025,8.107
11/07/2025,8.605
10/07/2025,8.496
09/07/2025,8.655
08/07/2025,8.753
07/07/2025,8.538
04/07/2025,8.532
03/07/2025,8.817
02/07/2025,8.759
01/07/2025,8.732
30/06/2025,8.786
27/06/2025,8.801
26/06/2025,8.595
25/06/2025,8.896
24/06/2025,9.054
23/06/2025,9.138
20/06/2025,9.43
19/06/2025,9.523
18/06/2025,9.175
17/06/2025,9.189
16/06/2025,9.515
13/06/2025,9.588
12/06/2025,9.631
11/06/2025,9.318
10/06/2025,9.953
09/06/2025,10.049
06/06/2025,10.495
05/06/2025,10.238
04/06/2025,10.669
03/06/2025,10.677
02/06/2025,11.387
30/05/2025,11.859
29/05/2025,12.081
28/05/2025,12.048
27/05/2025,12.071
26/05/2025,12.048
23/05/2025,12.164
22/05/2025,12.479
21/05/2025,12.477
20/05/2025,12.558
19/05/2025,12.775
16/05/2025,12.791
15/05/2025,12.724
14/05/2025,12.747
13/05/2025,12.496
12/05/2025,12.653
09/05/2025,12.719
08/05/2025,12.759
07/05/2025,12.801
06/05/2025,12.685
05/05/2025,12.998
02/05/2025,12.915
01/05/2025,13.008
30/04/2025,12.965
29/04/2025,13.013
28/04/2025,13.011
25/04/2025,12.934
24/04/2025,12.978
23/04/2025,13.278
22/04/2025,13.812
21/04/2025,13.427
18/04/2025,13.52
17/04/2025,13.537
16/04/2025,13.499
15/04/2025,13.373
14/04/2025,13.696
11/04/2025,14.117
10/04/2025,13.955
09/04/2025,14.404
08/04/2025,13.764
07/04/2025,14.486
04/04/2025,13.767
03/04/2025,13.789
02/04/2025,13.539
01/04/2025,13.461
31/03/2025,13.593
28/03/2025,13.57
27/03/2025,13.57
26/03/2025,13.533
25/03/2025,13.577
24/03/2025,13.551
21/03/2025,13.559
20/03/2025,13.408
19/03/2025,13.044
18/03/2025,13.051
17/03/2025,13.049
14/03/2025,13.164
13/03/2025,13.272
12/03/2025,12.962
11/03/2025,12.884
10/03/2025,13.35
07/03/2025,13.216
06/03/2025,11.92
05/03/2025,12.174
04/03/2025,12.016
03/03/2025,11.879
28/02/2025,11.735
27/02/2025,12.34
26/02/2025,11.699
25/02/2025,11.873
24/02/2025,11.543
21/02/2025,12.745
20/02/2025,12.187
19/02/2025,12.344
18/02/2025,12.265
17/02/2025,12.22
14/02/2025,12.431
13/02/2025,12.859
12/02/2025,12.927
11/02/2025,13.152
10/02/2025,13.095
07/02/2025,13.025
06/02/2025,13.3
05/02/2025,13.592
04/02/2025,13.535
03/02/2025,13.724
31/01/2025,13.6
30/01/2025,13.374
29/01/2025,13.549
28/01/2025,13.369
27/01/2025,13.532
24/01/2025,13.335
23/01/2025,13.641
22/01/2025,13.335
21/01/2025,13.607
20/01/2025,13.566
17/01/2025,13.79
16/01/2025,13.817
15/01/2025,13.941
14/01/2025,14.194
13/01/2025,14.42
10/01/2025,14.075
09/01/2025,14.021
08/01/2025,13.991
07/01/2025,13.968
06/01/2025,13.858
03/01/2025,13.916
02/01/2025,14.016
01/01/2025,13.393
31/12/2024,13.367
30/12/2024,13.861
27/12/2024,13.198
26/12/2024,13.325
25/12/2024,13.321
24/12/2024,13.291
23/12/2024,13.42
20/12/2024,13.647
19/12/2024,13.891
18/12/2024,13.345
17/12/2024,13.182
16/12/2024,12.589
13/12/2024,12.506
12/12/2024,12.379
11/12/2024,12.205
10/12/2024,12.149
09/12/2024,12.519
06/12/2024,12.394
05/12/2024,12.535
04/12/2024,12.523
03/12/2024,12.787
02/12/2024,12.52
29/11/2024,12.404
28/11/2024,12.621
27/11/2024,12.733
26/11/2024,12.072
25/11/2024,11.754
22/11/2024,11.742
21/11/2024,11.222
20/11/2024,10.457
19/11/2024,10.394
18/11/2024,10.362
15/11/2024,10.358
14/11/2024,10.282
13/11/2024,10.229
12/11/2024,10.085
11/11/2024,9.737
08/11/2024,9.902
07/11/2024,10.159
06/11/2024,9.609
05/11/2024,9.677
04/11/2024,9.739
01/11/2024,9.745
31/10/2024,9.925
30/10/2024,9.792
29/10/2024,9.571
28/10/2024,9.593
25/10/2024,9.607
24/10/2024,9.643
23/10/2024,9.48
22/10/2024,9.489
21/10/2024,9.508
18/10/2024,9.612
17/10/2024,9.649
16/10/2024,9.65
15/10/2024,9.652
14/10/2024,9.638
11/10/2024,9.606
10/10/2024,9.731
09/10/2024,9.941
08/10/2024,10.011
07/10/2024,9.948
04/10/2024,9.958
03/10/2024,9.996
02/10/2024,9.979
01/10/2024,10.359
30/09/2024,10.374
27/09/2024,10.407
26/09/2024,10.324
25/09/2024,10.423
24/09/2024,10.697
23/09/2024,10.684
20/09/2024,10.593
19/09/2024,8.747
18/09/2024,8.71
17/09/2024,8.74
16/09/2024,8.97
13/09/2024,8.739
12/09/2024,9.014
11/09/2024,9.552
10/09/2024,9.072
09/09/2024,8.801
06/09/2024,9.009
05/09/2024,9.128
04/09/2024,9.21
03/09/2024,9.162
02/09/2024,9.114
30/08/2024,9.126
29/08/2024,9.152
28/08/2024,8.984
27/08/2024,8.99
26/08/2024,8.608
23/08/2024,8.461
22/08/2024,8.494
21/08/2024,8.487
20/08/2024,8.491
19/08/2024,8.485
16/08/2024,8.543
15/08/2024,8.856
14/08/2024,8.958
13/08/2024,8.929
12/08/2024,8.975
09/08/2024,8.96
08/08/2024,9.256
07/08/2024,8.832
06/08/2024,9.416
05/08/2024,8.631
02/08/2024,9.206
01/08/2024,8.802
31/07/2024,8.724
30/07/2024,8.747
29/07/2024,8.672
26/07/2024,8.979
25/07/2024,8.949
24/07/2024,8.929
23/07/2024,8.828
22/07/2024,8.799
19/07/2024,8.792
18/07/2024,8.642
17/07/2024,8.887
16/07/2024,8.777
15/07/2024,8.741
12/07/2024,8.82
11/07/2024,8.868
10/07/2024,8.95
09/07/2024,8.871
08/07/2024,9.154
05/07/2024,9.489
04/07/2024,9.419
03/07/2024,9.449
02/07/2024,9.961
01/07/2024,9.852
28/06/2024,10.183
27/06/2024,10.262
26/06/2024,10.047
25/06/2024,10.022
24/06/2024,10.267
21/06/2024,10.382
20/06/2024,10.616
19/06/2024,10.202
18/06/2024,10.233
17/06/2024,10.756
14/06/2024,10.516
13/06/2024,8.75
12/06/2024,7.831
11/06/2024,7.974
10/06/2024,7.803
07/06/2024,7.605
06/06/2024,7.746
05/06/2024,7.588
04/06/2024,8.383
03/06/2024,7.497
31/05/2024,8.093
30/05/2024,7.948
29/05/2024,8.173
28/05/2024,8.377
27/05/2024,8.444
24/05/2024,8.363
23/05/2024,8.138
22/05/2024,8.255
21/05/2024,8.173
20/05/2024,8.521
17/05/2024,9.089
16/05/2024,8.63
15/05/2024,9.642
14/05/2024,9.482
13/05/2024,9.922
10/05/2024,9.778
09/05/2024,8.431
08/05/2024,9.091
07/05/2024,8.976
06/05/2024,10.003
03/05/2024,10.068
02/05/2024,9.569
01/05/2024,9.658
30/04/2024,10.484
29/04/2024,10.106
26/04/2024,9.493
25/04/2024,9.883
24/04/2024,9.864
23/04/2024,9.397
22/04/2024,10.563
19/04/2024,10.695
18/04/2024,10.621
17/04/2024,9.736
16/04/2024,10.227
15/04/2024,8.281
12/04/2024,8.532
11/04/2024,9.835
10/04/2024,9.183
09/04/2024,8.876
08/04/2024,10.008
05/04/2024,10.058
04/04/2024,10.447
03/04/2024,10.384
02/04/2024,10.338
01/04/2024,10.424
29/03/2024,10.492
28/03/2024,10.484
27/03/2024,10.565
26/03/2024,10.544
25/03/2024,10.489
22/03/2024,10.387
21/03/2024,10.61
20/03/2024,10.868
19/03/2024,9.882
18/03/2024,10.34
15/03/2024,9.977
14/03/2024,10.814
13/03/2024,11.39
12/03/2024,11.466
11/03/2024,10.32
08/03/2024,10.549
07/03/2024,11.619
06/03/2024,11.633
05/03/2024,11.559
04/03/2024,11.963
01/03/2024,11.688
29/02/2024,11.635
28/02/2024,11.787
27/02/2024,11.661
26/02/2024,11.804
23/02/2024,11.513
22/02/2024,12.179
21/02/2024,11.985
20/02/2024,12.384
19/02/2024,12.706
16/02/2024,12.382
15/02/2024,13.912
14/02/2024,13.56
13/02/2024,12.933
12/02/2024,13.645
09/02/2024,13.485
08/02/2024,13.669
07/02/2024,13.079
06/02/2024,13.556
05/02/2024,13.957
02/02/2024,12.553
01/02/2024,13.468
31/01/2024,13.323
30/01/2024,12.705
29/01/2024,13.017
26/01/2024,12.99
25/01/2024,13.36
24/01/2024,13.616
23/01/2024,13.753
22/01/2024,13.822
19/01/2024,14.425
18/01/2024,14.793
17/01/2024,14.802
16/01/2024,14.821
15/01/2024,15.126
12/01/2024,15.72
11/01/2024,15.078
10/01/2024,14.989
09/01/2024,15.708
08/01/2024,15.87
05/01/2024,15.783
04/01/2024,16.241
03/01/2024,16.262
02/01/2024,15.993
01/01/2024,16.57
29/12/2023,16.633
28/12/2023,16.751
27/12/2023,16.797
26/12/2023,16.762
25/12/2023,17.032
22/12/2023,16.98
21/12/2023,17.018
20/12/2023,16.943
19/12/2023,16.72
18/12/2023,16.268
15/12/2023,16.667
14/12/2023,16.231
13/12/2023,16.734
12/12/2023,17.404
11/12/2023,16.773
08/12/2023,17.794
07/12/2023,17.686
06/12/2023,17.883
05/12/2023,17.847
04/12/2023,17.859
01/12/2023,17.615
30/11/2023,17.676
29/11/2023,18.843
28/11/2023,18.984
27/11/2023,18.479
24/11/2023,18.678
23/11/2023,18.263
22/11/2023,18.404
21/11/2023,18.953
20/11/2023,18.529
17/11/2023,18.118
16/11/2023,18.443
15/11/2023,18.486
14/11/2023,19.575
13/11/2023,19.459
10/11/2023,19.705
09/11/2023,19.306
08/11/2023,19.672
07/11/2023,20.962
06/11/2023,21.11
03/11/2023,20.305
02/11/2023,20.385
01/11/2023,21.003
31/10/2023,20.875
30/10/2023,21.711
27/10/2023,21.727
26/10/2023,22.307
25/10/2023,21.81
24/10/2023,22.179
23/10/2023,21.763
20/10/2023,24.489
19/10/2023,23.656
18/10/2023,21.895
17/10/2023,21.437
16/10/2023,21.601
13/10/2023,21.881
12/10/2023,22.162
11/10/2023,22.287
10/10/2023,21.56
09/10/2023,21.601
06/10/2023,21.832
05/10/2023,22.505
04/10/2023,20.504
03/10/2023,21.751
02/10/2023,21.12
29/09/2023,22.056
28/09/2023,22.003
27/09/2023,21.445
26/09/2023,21.819
25/09/2023,21.335
22/09/2023,20.071
21/09/2023,19.056
20/09/2023,18.693
19/09/2023,17.693
18/09/2023,18.072
15/09/2023,17.286
14/09/2023,17.448
13/09/2023,17.175
12/09/2023,16.76
11/09/2023,16.936
08/09/2023,16.946
07/09/2023,16.964
06/09/2023,16.823
05/09/2023,16.14
04/09/2023,16.271
01/09/2023,16.889
31/08/2023,16.93
30/08/2023,16.989
29/08/2023,16.588
28/08/2023,17.167
25/08/2023,17.221
24/08/2023,16.422
23/08/2023,16.697
22/08/2023,15.693
21/08/2023,14.806
18/08/2023,16.149
17/08/2023,14.53
16/08/2023,14.686
15/08/2023,14.736
14/08/2023,14.475
11/08/2023,13.603
10/08/2023,13.753
09/08/2023,13.521
08/08/2023,14.205
07/08/2023,13.97
04/08/2023,14.448
03/08/2023,13.524
02/08/2023,14.362
01/08/2023,14.018
31/07/2023,13.007
28/07/2023,14.838
27/07/2023,13.879
26/07/2023,14.14
25/07/2023,14.323
24/07/2023,14.578
21/07/2023,14.577
20/07/2023,14.659
19/07/2023,14.345
18/07/2023,14.311
17/07/2023,14.633
14/07/2023,14.313
13/07/2023,13.88
12/07/2023,13.827
11/07/2023,14.826
10/07/2023,14.3
07/07/2023,13.619
06/07/2023,14.452
05/07/2023,14.306
04/07/2023,14.268
03/07/2023,14.249
30/06/2023,14.398
29/06/2023,14.965
28/06/2023,14.096
27/06/2023,14.778
26/06/2023,14.173
23/06/2023,14.113
22/06/2023,14.119
21/06/2023,14.223
20/06/2023,14.242
19/06/2023,13.98
16/06/2023,14.073
15/06/2023,13.879
14/06/2023,13.287
13/06/2023,13.251
12/06/2023,12.796
09/06/2023,13.643
08/06/2023,14.031
07/06/2023,13.766
06/06/2023,14.246
05/06/2023,13.778
02/06/2023,13.735
01/06/2023,14.118
31/05/2023,14.15
30/05/2023,14.149
29/05/2023,13.741
26/05/2023,13.801
25/05/2023,13.933
24/05/2023,13.445
23/05/2023,12.826
22/05/2023,12.75
19/05/2023,12.647
18/05/2023,13.41
17/05/2023,12.781
16/05/2023,13.317
15/05/2023,13.332
12/05/2023,13.274
11/05/2023,13.716
10/05/2023,13.92
09/05/2023,13.292
08/05/2023,13.642
05/05/2023,13.649
04/05/2023,13.25
03/05/2023,13.328
02/05/2023,13.341
01/05/2023,13.376
28/04/2023,13.437
27/04/2023,14.778
26/04/2023,15.184
25/04/2023,14.802
24/04/2023,14.533
21/04/2023,14.856
20/04/2023,14.962
19/04/2023,14.46
18/04/2023,14.887
17/04/2023,14.726
14/04/2023,14.929
13/04/2023,14.789
12/04/2023,14.896
11/04/2023,14.836
10/04/2023,15.013
07/04/2023,15.106
06/04/2023,14.84
05/04/2023,15.036
04/04/2023,15.091
03/04/2023,15.1
31/03/2023,15.03
30/03/2023,15.416
29/03/2023,15.677
28/03/2023,15.863
27/03/2023,15.823
24/03/2023,15.317
23/03/2023,15.84
22/03/2023,15.022
21/03/2023,15.034
20/03/2023,16.187
17/03/2023,13.941
16/03/2023,14.63
15/03/2023,14.625
14/03/2023,14.52
13/03/2023,14.54
10/03/2023,13.346
09/03/2023,13.537
08/03/2023,13.16
07/03/2023,12.838
06/03/2023,13.926
03/03/2023,14.271
02/03/2023,13.077
01/03/2023,13.703
28/02/2023,13.741
27/02/2023,13.239
24/02/2023,13.616
23/02/2023,13.354
22/02/2023,12.899
21/02/2023,12.952
20/02/2023,13.208
17/02/2023,14.035
16/02/2023,13.153
15/02/2023,13.206
14/02/2023,13.54
13/02/2023,13.615
10/02/2023,13.765
09/02/2023,13.283
08/02/2023,12.37
07/02/2023,12.237
06/02/2023,13.257
03/02/2023,13.477
02/02/2023,13.588
01/02/2023,14.075
31/01/2023,14.681
30/01/2023,13.752
27/01/2023,14.202
26/01/2023,14.134
25/01/2023,13.532
24/01/2023,14.285
23/01/2023,15.916
20/01/2023,14.963
19/01/2023,15.517
18/01/2023,16.815
17/01/2023,16.959
16/01/2023,17.765
13/01/2023,17.535
12/01/2023,17.479
11/01/2023,18.549
10/01/2023,17.78
09/01/2023,18.38
06/01/2023,18.336
05/01/2023,18.289
04/01/2023,18.505
03/01/2023,18.859
02/01/2023,18.939
30/12/2022,18.864
29/12/2022,18.901
28/12/2022,19.059
27/12/2022,19.018
26/12/2022,18.985
23/12/2022,18.896
22/12/2022,18.96
21/12/2022,19.55
20/12/2022,19.453
19/12/2022,19.373
16/12/2022,19.52
15/12/2022,19.248
14/12/2022,19.229
13/12/2022,18.971
12/12/2022,19.344
09/12/2022,18.473
08/12/2022,18.36
07/12/2022,18.963
06/12/2022,18.975
05/12/2022,18.444
02/12/2022,18.822
01/12/2022,18.678
30/11/2022,18.753
29/11/2022,19.216
28/11/2022,19.244
25/11/2022,18.432
24/11/2022,18.2
23/11/2022,19.469
22/11/2022,19.928
21/11/2022,20.04
18/11/2022,20.001
17/11/2022,19.948
16/11/2022,19.62
15/11/2022,20.859
14/11/2022,22.016
11/11/2022,22.166
10/11/2022,22.89
09/11/2022,24.62
08/11/2022,23.562
07/11/2022,23.997
04/11/2022,24.166
03/11/2022,25.988
02/11/2022,27.34
01/11/2022,27.351
31/10/2022,27.248
28/10/2022,26.243
27/10/2022,26.79
26/10/2022,26.545
25/10/2022,26.002
24/10/2022,26.896
21/10/2022,27.721
20/10/2022,28.034
19/10/2022,28.174
18/10/2022,27.977
17/10/2022,28.127
14/10/2022,27.75
13/10/2022,28.926
12/10/2022,27.982
11/10/2022,27.531
10/10/2022,25.324
07/10/2022,24.994
06/10/2022,25.095
05/10/2022,24.605
04/10/2022,24.148
03/10/2022,23.754
30/09/2022,24.122
29/09/2022,23.95
28/09/2022,23.23
27/09/2022,20.447
26/09/2022,19.147
23/09/2022,17.267
22/09/2022,16.974
21/09/2022,16.974
20/09/2022,16.962
19/09/2022,16.557
16/09/2022,16.72
15/09/2022,16.749
14/09/2022,16.985
13/09/2022,16.806
12/09/2022,16.261
09/09/2022,15.882
08/09/2022,16.067
07/09/2022,16.339
06/09/2022,16.532
05/09/2022,17.204
02/09/2022,16.311
01/09/2022,16.71
31/08/2022,15.873
30/08/2022,15.63
29/08/2022,15.911
26/08/2022,15.605
25/08/2022,16.148
24/08/2022,15.894
23/08/2022,15.127
22/08/2022,15.201
19/08/2022,15.113
18/08/2022,15.175
17/08/2022,15.283
16/08/2022,15.376
15/08/2022,15.415
12/08/2022,15.791
11/08/2022,15.966
10/08/2022,15.349
09/08/2022,15.711
08/08/2022,15.908
05/08/2022,15.998
04/08/2022,15.991
03/08/2022,16.405
02/08/2022,16.004
01/08/2022,15.766
29/07/2022,15.332
28/07/2022,15.814
27/07/2022,16.054
26/07/2022,16.499
25/07/2022,16.536
22/07/2022,16.589
21/07/2022,16.69
20/07/2022,16.978
19/07/2022,16.323
18/07/2022,16.744
15/07/2022,17.818
14/07/2022,15.848
13/07/2022,15.432
12/07/2022,15.869
11/07/2022,16.109
08/07/2022,16.734
07/07/2022,14.631
06/07/2022,14.043
05/07/2022,13.101
04/07/2022,12.877
01/07/2022,12.304
30/06/2022,12.903
29/06/2022,13.254
28/06/2022,13.409
27/06/2022,13.322
24/06/2022,12.677
23/06/2022,12.609
22/06/2022,12.265
21/06/2022,11.899
20/06/2022,11.828
17/06/2022,11.924
16/06/2022,12.554
15/06/2022,12.224
14/06/2022,12.799
13/06/2022,11.91
10/06/2022,12.4
09/06/2022,12.662
08/06/2022,12.438
07/06/2022,11.591
06/06/2022,12.632
03/06/2022,12.364
02/06/2022,12.427
01/06/2022,11.834
31/05/2022,11.983
30/05/2022,11.404
27/05/2022,11.483
26/05/2022,12.394
25/05/2022,12.204
24/05/2022,12.401
23/05/2022,12.139
20/05/2022,12.772
19/05/2022,12.389
18/05/2022,12.803
17/05/2022,12.757
16/05/2022,12.947
13/05/2022,12.328
12/05/2022,12.899
11/05/2022,12.787
10/05/2022,12.696
09/05/2022,12.742
06/05/2022,12.937
05/05/2022,12.789
04/05/2022,12.848
03/05/2022,12.583
02/05/2022,12.635
29/04/2022,12.726
28/04/2022,12.752
27/04/2022,13.332
26/04/2022,13.576
25/04/2022,13.161
22/04/2022,13.498
21/04/2022,13.562
20/04/2022,13.407
19/04/2022,13.3
18/04/2022,13.2
15/04/2022,13.154
14/04/2022,13.654
13/04/2022,13.201
12/04/2022,14.499
11/04/2022,14.621
08/04/2022,14.846
07/04/2022,13.865
06/04/2022,14.035
05/04/2022,14.878
04/04/2022,14.839
01/04/2022,13.323
31/03/2022,14.819
30/03/2022,15.059
29/03/2022,14.724
28/03/2022,15.286
25/03/2022,15.208
24/03/2022,15.115
23/03/2022,15.463
22/03/2022,15.331
21/03/2022,15.254
18/03/2022,15.237
17/03/2022,14.716
16/03/2022,14.801
15/03/2022,16.25
14/03/2022,16.442
11/03/2022,16.591
10/03/2022,16.508
09/03/2022,17.167
08/03/2022,18.711
07/03/2022,16.008
04/03/2022,13.355
03/03/2022,11.209
02/03/2022,10.953
01/03/2022,9.33
28/02/2022,8.813
25/02/2022,7.828
24/02/2022,8.274
23/02/2022,8.004
22/02/2022,7.56
21/02/2022,7.894
18/02/2022,7.497
17/02/2022,7.471
16/02/2022,7.241
15/02/2022,7.522
14/02/2022,7.557
11/02/2022,7.926
10/02/2022,8.101
09/02/2022,8.272
08/02/2022,8.189
07/02/2022,8.385
04/02/2022,7.284
03/02/2022,7.373
02/02/2022,7.539
01/02/2022,7.49
31/01/2022,7.583
28/01/2022,7.503
27/01/2022,7.885
26/01/2022,8.386
25/01/2022,8.408
24/01/2022,8.635
21/01/2022,8.597
20/01/2022,8.398
19/01/2022,8.317
18/01/2022,8.852
17/01/2022,8.537
14/01/2022,8.873
13/01/2022,8.517
12/01/2022,8.499
11/01/2022,8.735
10/01/2022,8.84
07/01/2022,8.915
06/01/2022,8.813
05/01/2022,8.891
04/01/2022,8.746
03/01/2022,9.101
31/12/2021,9.048
30/12/2021,8.723
29/12/2021,8.682
28/12/2021,9.058
27/12/2021,9.059
24/12/2021,9.101
23/12/2021,9.129
22/12/2021,9.13
21/12/2021,9.127
20/12/2021,9.129
17/12/2021,9.135
16/12/2021,9.127
15/12/2021,9.135
14/12/2021,9.136
13/12/2021,9.142
10/12/2021,8.784
09/12/2021,8.69
08/12/2021,8.8
07/12/2021,8.793
06/12/2021,8.76
03/12/2021,8.701
02/12/2021,8.844
01/12/2021,9.137
30/11/2021,9.15
29/11/2021,9.24
26/11/2021,9.158
25/11/2021,8.775
24/11/2021,8.67
23/11/2021,8.755
22/11/2021,8.84
19/11/2021,8.976
18/11/2021,8.791
17/11/2021,8.746
16/11/2021,8.763
15/11/2021,9.225
12/11/2021,9.008
11/11/2021,8.889
10/11/2021,9.202
09/11/2021,9.18
08/11/2021,9.142
05/11/2021,9.311
04/11/2021,9.235
03/11/2021,9.36
02/11/2021,9.46
01/11/2021,9.433
29/10/2021,9.36
28/10/2021,9.276
27/10/2021,9.215
26/10/2021,9.234
25/10/2021,9.208
22/10/2021,9.228
21/10/2021,8.939
20/10/2021,9.217
19/10/2021,9.284
18/10/2021,9.26
15/10/2021,9.182
14/10/2021,9.235
13/10/2021,9.314
12/10/2021,9.121
11/10/2021,9.235
08/10/2021,9.179
07/10/2021,9.191
06/10/2021,9.216
05/10/2021,9.194
04/10/2021,9.195
01/10/2021,9.133
30/09/2021,9.417
29/09/2021,8.778
28/09/2021,8.948
27/09/2021,9.399
