Data Source in SDW: https://sdw.ecb.de/quickview.do?org.apache.struts.taglib.html.TOKEN=682c7f502e7266e963f768c6bcf933a1&SERIES_KEY=42.FM.B.ES.USD.DS.SC.ESGVTS5.HST&start=01-01-2021&end=&snapshot=&submitOptions.x=0&submitOptions.y=0&trans=N
,FM.B.ES.USD.DS.SC.ESGVTS5.HST
,"SPAIN SEN 5YR Credit Default Swap, provided by DataStream"
Collection:,End of period (E)
Period\Unit:,[Points ]
,,obs. status,obs. confidentiality
2026-07-03,15.6650000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-07-02,15.6440000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-07-01,15.6450000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-06-30,15.4180000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-06-29,15.4900000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-06-26,15.4370000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-06-25,15.5450000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-06-24,15.5160000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-06-23,15.3480000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-06-22,15.4150000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-06-19,15.3750000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-06-18,15.5300000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-06-17,15.5300000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-06-16,15.4320000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-06-15,15.2950000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-06-12,15.8210000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-06-11,15.9800000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-06-10,15.2940000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-06-09,16.0150000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-06-08,16.4250000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-06-05,15.9800000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-06-04,16.0030000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-06-03,15.9880000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-06-02,16.0180000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-06-01,15.9050000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-05-29,16.0410000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-05-28,16.2200000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-05-27,16.0930000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-05-26,16.2380000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-05-25,16.2520000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-05-22,16.2650000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-05-21,16.2870000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-05-20,16.4330000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-05-19,16.8220000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-05-18,16.7280000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-05-15,16.7090000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-05-14,16.4020000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-05-13,16.3650000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-05-12,16.4620000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-05-11,15.9580000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-05-08,16.2420000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-05-07,16.2390000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-05-06,16.7120000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-05-05,17.3440000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-05-04,17.8290000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-05-01,16.8830000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-04-30,17.1990000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-04-29,17.4780000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-04-28,16.7760000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-04-27,16.8580000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-04-24,16.8550000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-04-23,16.6750000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-04-22,16.2120000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-04-21,16.6080000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-04-20,16.8910000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-04-17,16.9140000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-04-16,17.5580000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-04-15,17.5980000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-04-14,17.4970000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-04-13,17.7350000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-04-10,18.5390000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-04-09,19.1130000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-04-08,18.6880000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-04-07,20.4610000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-04-06,21.0240000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-04-03,20.9320000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-04-02,20.8270000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-04-01,20.3030000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-03-31,21.0900000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-03-30,21.5820000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-03-27,21.5550000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-03-26,21.3800000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-03-25,20.7920000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-03-24,21.6290000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-03-23,21.3930000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-03-20,20.5580000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-03-19,18.3110000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-03-18,17.8500000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-03-17,17.9290000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-03-16,18.3350000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-03-13,18.1580000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-03-12,17.7180000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-03-11,17.0240000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-03-10,16.9290000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-03-09,17.7840000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-03-06,17.2050000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-03-05,17.0950000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-03-04,17.0380000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-03-03,16.8910000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-03-02,16.5430000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-02-27,15.7360000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-02-26,15.6350000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-02-25,15.8810000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-02-24,15.7160000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-02-23,15.9290000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-02-20,16.2300000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-02-19,16.2640000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-02-18,16.3730000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-02-17,16.7960000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-02-16,16.6730000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-02-13,16.6570000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-02-12,16.4960000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-02-11,16.7150000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-02-10,16.7870000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-02-09,16.5670000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-02-06,16.7610000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-02-05,16.8930000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-02-04,16.6010000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-02-03,17.1960000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-02-02,16.6640000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-01-30,16.9500000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-01-29,16.9790000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-01-28,17.0090000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-01-27,17.2000000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-01-26,17.4010000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-01-23,17.1120000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-01-22,16.8690000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-01-21,18.5080000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-01-20,18.2130000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-01-19,18.2120000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-01-16,18.2040000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-01-15,17.7510000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-01-14,18.2570000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-01-13,18.3380000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-01-12,18.4320000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-01-09,18.1370000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-01-08,18.4320000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-01-07,18.8050000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-01-06,18.8600000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-01-05,18.9740000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-01-02,19.3650000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-01-01,19.3570000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-12-31,19.2680000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-12-30,19.3500000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-12-29,19.3160000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-12-26,18.9040000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-12-25,18.9480000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-12-24,18.8020000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-12-23,19.1230000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-12-22,18.8250000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-12-19,18.9780000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-12-18,18.6290000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-12-17,19.0500000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-12-16,19.0240000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-12-15,19.2990000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-12-12,19.3730000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-12-11,19.4650000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-12-10,19.3520000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-12-09,19.4770000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-12-08,19.3450000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-12-05,19.3840000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-12-04,19.6110000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-12-03,19.6320000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-12-02,19.6800000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-12-01,19.9350000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-11-28,20.1740000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-11-27,20.1880000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-11-26,19.9900000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-11-25,20.6910000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-11-24,20.6060000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-11-21,20.9300000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-11-20,20.5860000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-11-19,21.1970000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-11-18,21.3890000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-11-17,21.0260000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-11-14,21.2020000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-11-13,21.1630000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-11-12,21.2670000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-11-11,21.7840000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-11-10,22.2400000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-11-07,22.5010000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-11-06,22.5700000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-11-05,22.7370000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-11-04,23.2450000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-11-03,22.9920000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-10-31,22.9910000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-10-30,23.1280000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-10-29,23.4610000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-10-28,23.7800000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-10-27,23.5420000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-10-24,23.7110000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-10-23,23.7010000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-10-22,24.0010000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-10-21,24.1280000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-10-20,24.0860000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-10-17,24.3410000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-10-16,24.2730000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-10-15,24.4480000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-10-14,25.1650000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-10-13,24.9740000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-10-10,24.9470000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-10-09,24.9460000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-10-08,25.2550000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-10-07,25.6080000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-10-06,25.5340000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-10-03,25.4190000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-10-02,25.6840000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-10-01,25.7520000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-09-30,25.6650000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-09-29,25.6150000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-09-26,25.7370000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-09-25,25.7610000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-09-24,25.6320000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-09-23,25.4730000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-09-22,26.0230000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-09-19,23.7540000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-09-18,23.7310000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-09-17,23.4230000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-09-16,24.2350000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-09-15,23.8160000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-09-12,24.7800000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-09-11,25.1670000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-09-10,25.4510000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-09-09,26.0520000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-09-08,26.1560000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-09-05,26.2980000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-09-04,26.7610000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-09-03,27.4950000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-09-02,27.4570000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-09-01,27.0320000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-08-29,27.2420000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-08-28,27.1420000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-08-27,27.2540000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-08-26,27.0090000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-08-25,26.2350000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-08-22,26.0280000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-08-21,25.9820000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-08-20,25.7940000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-08-19,25.8340000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-08-18,25.6160000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-08-15,25.6270000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-08-14,25.7670000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-08-13,26.1520000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-08-12,26.6130000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-08-11,27.0060000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-08-08,27.1210000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-08-07,27.3560000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-08-06,27.9740000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-08-05,28.0430000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-08-04,28.0190000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-08-01,28.0260000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-07-31,27.6880000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-07-30,27.2450000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-07-29,27.2600000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-07-28,27.1570000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-07-25,27.3610000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-07-24,27.2620000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-07-23,27.7290000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-07-22,28.0640000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-07-21,28.4630000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-07-18,28.6990000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-07-17,28.7630000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-07-16,28.8030000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-07-15,28.8280000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-07-14,28.6670000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-07-11,28.7450000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-07-10,29.2650000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-07-09,29.3510000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-07-08,29.3120000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-07-07,29.6460000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-07-04,29.6630000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-07-03,29.9500000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-07-02,30.5100000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-07-01,30.6370000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-06-30,30.6120000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-06-27,30.4930000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-06-26,30.5300000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-06-25,30.6490000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-06-24,30.7280000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-06-23,31.6040000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-06-20,31.6080000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-06-19,31.5690000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-06-18,31.3740000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-06-17,31.1170000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-06-16,31.2340000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-06-13,31.3230000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-06-12,31.1700000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-06-11,31.1950000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-06-10,31.2590000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-06-09,31.3500000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-06-06,31.6850000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-06-05,31.9510000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-06-04,32.1610000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-06-03,32.5640000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-06-02,33.0980000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-05-30,33.5580000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-05-29,33.7000000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-05-28,33.7700000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-05-27,34.1920000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-05-26,34.0710000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-05-23,34.2230000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-05-22,34.3070000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-05-21,34.1250000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-05-20,34.2260000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-05-19,34.2510000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-05-16,34.3400000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-05-15,34.5420000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-05-14,34.2870000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-05-13,34.2750000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-05-12,34.3110000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-05-09,35.1360000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-05-08,35.4040000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-05-07,35.5290000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-05-06,35.7840000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-05-05,36.1740000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-05-02,35.9180000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-05-01,35.7560000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-04-30,35.9450000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-04-29,36.2000000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-04-28,36.1430000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-04-25,36.2120000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-04-24,37.0110000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-04-23,36.8330000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-04-22,37.5750000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-04-21,37.8000000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-04-18,37.8970000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-04-17,37.9160000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-04-16,38.0580000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-04-15,37.7580000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-04-14,38.2490000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-04-11,38.2430000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-04-10,37.2060000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-04-09,37.8060000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-04-08,36.4660000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-04-07,37.9010000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-04-04,35.2340000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-04-03,34.0840000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-04-02,33.2480000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-04-01,33.4060000,Normal value (A),Not for publication, restricted for internal use only (N)
