Data Source in SDW: https://sdw.ecb.de/quickview.do?org.apache.struts.taglib.html.TOKEN=e396ea9b7f6446795d77fcb5910e432c&SERIES_KEY=42.FM.B.IT.USD.DS.SC.ITGVTS5.HST&start=01-01-2021&end=&snapshot=&submitOptions.x=0&submitOptions.y=0&trans=N
,FM.B.IT.USD.DS.SC.ITGVTS5.HST
,"ITALY SEN 5YR Credit Default Swap, provided by DataStream"
Collection:,End of period (E)
Period\Unit:,[Points ]
,,obs. status,obs. confidentiality,obs. comment
2026-06-02,29.1330000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-06-01,29.1440000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-05-29,28.8520000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-05-28,28.7890000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-05-27,28.8260000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-05-26,29.0060000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-05-25,29.2120000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-05-22,29.2950000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-05-21,29.5380000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-05-20,29.5610000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-05-19,30.3180000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-05-18,30.7950000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-05-15,30.4430000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-05-14,29.5700000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-05-13,30.0240000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-05-12,30.3190000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-05-11,29.3170000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-05-08,29.1950000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-05-07,28.8700000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-05-06,30.3530000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-05-05,32.2220000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-05-04,33.1460000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-05-01,32.3680000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-04-30,32.8920000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-04-29,33.2720000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-04-28,32.0510000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-04-27,31.5750000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-04-24,31.3930000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-04-23,31.2910000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-04-22,30.5570000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-04-21,30.4210000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-04-20,30.4930000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-04-17,31.0240000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-04-16,32.0870000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-04-15,32.0860000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-04-14,32.3290000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-04-13,33.7000000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-04-10,33.3370000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-04-09,34.1870000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-04-08,33.3180000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-04-07,38.6550000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-04-06,38.4050000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-04-03,38.3000000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-04-02,38.0600000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-04-01,36.8370000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-03-31,40.9730000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-03-30,42.3270000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-03-27,41.9080000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-03-26,38.4880000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-03-25,37.3190000,Normal value (A),Not for publication, restricted for internal use only (N),~
2026-03-24,38.1610000,Normal value (A),Not for publication, restricted for internal use only (N),~
2026-03-23,39.8540000,Normal value (A),Not for publication, restricted for internal use only (N),~
2026-03-20,37.2500000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-03-19,32.5410000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-03-18,29.9790000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-03-17,30.7070000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-03-16,31.6750000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-03-13,31.4820000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-03-12,30.3820000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-03-11,27.8460000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-03-10,27.2190000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-03-09,29.9770000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-03-06,27.5120000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-03-05,25.6400000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-03-04,25.7430000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-03-03,25.5890000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-03-02,24.4520000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-02-27,23.1030000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-02-26,23.2400000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-02-25,23.1140000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-02-24,23.2210000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-02-23,23.3000000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-02-20,23.5570000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-02-19,23.3730000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-02-18,23.4990000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-02-17,24.3040000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-02-16,23.8650000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-02-13,24.1410000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-02-12,23.9430000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-02-11,24.0840000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-02-10,24.1460000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-02-09,24.2320000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-02-06,24.3320000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-02-05,24.1900000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-02-04,24.0660000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-02-03,24.3670000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-02-02,24.9630000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-01-30,24.8990000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-01-29,24.9520000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-01-28,25.2150000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-01-27,25.2460000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-01-26,25.6590000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-01-23,25.6440000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-01-22,25.6330000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-01-21,26.2670000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-01-20,26.9480000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-01-19,26.7690000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-01-16,26.7110000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-01-15,27.1640000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-01-14,27.4580000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-01-13,27.5390000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-01-12,27.4780000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-01-09,26.0700000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-01-08,27.9660000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-01-07,27.8790000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-01-06,27.9430000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-01-05,27.9700000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-01-02,28.5880000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-01-01,28.0660000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-12-31,28.0290000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-12-30,28.3330000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-12-29,28.2640000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-12-26,27.9970000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-12-25,27.9860000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-12-24,27.7250000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-12-23,28.2050000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-12-22,27.9650000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-12-19,28.5290000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-12-18,28.2400000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-12-17,28.4850000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-12-16,28.6420000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-12-15,28.6750000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-12-12,28.7720000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-12-11,28.7560000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-12-10,28.7410000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-12-09,28.7370000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-12-08,28.4420000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-12-05,28.7780000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-12-04,29.0390000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-12-03,28.8900000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-12-02,29.2940000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-12-01,29.5480000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-11-28,29.8800000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-11-27,29.7450000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-11-26,30.0530000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-11-25,30.4110000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-11-24,30.6660000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-11-21,30.9040000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-11-20,30.4080000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-11-19,30.6580000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-11-18,30.8490000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-11-17,30.4800000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-11-14,30.6080000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-11-13,30.6290000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-11-12,31.1110000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-11-11,31.1120000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-11-10,31.7730000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-11-07,32.4270000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-11-06,31.9140000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-11-05,32.4480000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-11-04,33.1020000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-11-03,33.1050000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-10-31,33.4680000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-10-30,33.6740000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-10-29,33.9040000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-10-28,34.5710000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-10-27,34.8850000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-10-24,35.2220000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-10-23,35.6970000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-10-22,35.9410000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-10-21,36.0990000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-10-20,36.6030000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-10-17,37.0750000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-10-16,36.8020000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-10-15,37.0310000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-10-14,37.8990000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-10-13,38.6990000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-10-10,38.7660000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-10-09,38.4210000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-10-08,38.9610000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-10-07,39.3240000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-10-06,39.3700000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-10-03,39.1150000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-10-02,39.0090000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-10-01,39.2350000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-09-30,39.1710000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-09-29,39.1160000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-09-26,39.4500000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-09-25,39.5280000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-09-24,38.5360000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-09-23,38.7190000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-09-22,38.5950000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-09-19,34.9050000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-09-18,35.0120000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-09-17,34.8520000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-09-16,34.7770000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-09-15,35.0790000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-09-12,35.7740000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-09-11,36.6840000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-09-10,37.0580000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-09-09,38.3630000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-09-08,39.6100000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-09-05,40.0120000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-09-04,41.3530000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-09-03,42.6250000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-09-02,42.8620000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-09-01,41.8820000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-08-29,42.0250000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-08-28,42.0820000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-08-27,41.9930000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-08-26,40.9090000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-08-25,40.0280000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-08-22,39.7140000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-08-21,39.5860000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-08-20,39.1580000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-08-19,38.7530000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-08-18,38.9520000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-08-15,38.9320000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-08-14,39.0250000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-08-13,39.1120000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-08-12,38.5850000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-08-11,39.0760000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-08-08,39.5630000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-08-07,39.4620000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-08-06,39.8600000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-08-05,40.0050000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-08-04,40.0140000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-08-01,40.2300000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-07-31,39.5570000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-07-30,39.0450000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-07-29,39.2440000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-07-28,39.3660000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-07-25,40.0740000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-07-24,40.1160000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-07-23,41.4230000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-07-22,41.9170000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-07-21,42.8780000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-07-18,43.4230000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-07-17,44.0460000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-07-16,44.0960000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-07-15,44.1500000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-07-14,44.1670000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-07-11,44.1370000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-07-10,44.2340000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-07-09,44.4130000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-07-08,44.7540000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-07-07,44.9820000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-07-04,45.4770000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-07-03,45.8090000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-07-02,46.4990000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-07-01,47.0140000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-06-30,47.2500000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-06-27,47.5540000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-06-26,47.8450000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-06-25,48.3170000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-06-24,48.3600000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-06-23,49.2750000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-06-20,49.5290000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-06-19,49.4950000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-06-18,49.0700000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-06-17,48.5310000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-06-16,48.6930000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-06-13,49.0000000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-06-12,48.7090000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-06-11,48.9490000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-06-10,48.9440000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-06-09,49.2610000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-06-06,50.6750000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-06-05,51.1750000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-06-04,51.2410000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-06-03,51.6290000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-06-02,51.8970000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-05-30,52.5290000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-05-29,53.4710000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-05-28,54.3400000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-05-27,54.9440000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-05-26,54.1700000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-05-23,54.3680000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-05-22,54.3480000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-05-21,53.9700000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-05-20,53.9830000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-05-19,53.9900000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-05-16,53.5020000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-05-15,53.6550000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-05-14,53.4290000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-05-13,53.4280000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-05-12,53.7990000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-05-09,55.0500000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-05-08,55.3420000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-05-07,56.1910000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-05-06,56.5120000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-05-05,57.1670000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-05-02,56.8940000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-05-01,57.2810000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-04-30,57.3440000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-04-29,56.9630000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-04-28,56.8470000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-04-25,57.1480000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-04-24,58.6480000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-04-23,58.6130000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-04-22,60.2410000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-04-21,60.4340000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-04-18,60.4870000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-04-17,60.4660000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-04-16,60.9270000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-04-15,60.0540000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-04-14,61.0750000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-04-11,64.1320000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-04-10,60.7440000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-04-09,67.8780000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-04-08,63.4850000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-04-07,68.1870000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-04-04,62.9680000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-04-03,57.3500000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-04-02,55.5570000,Normal value (A),Not for publication, restricted for internal use only (N),
