Data Source in SDW: https://sdw.ecb.de/quickview.do?org.apache.struts.taglib.html.TOKEN=1a35b53ab43b4fe981667ed95c8df53a&SERIES_KEY=42.FM.B.DE.USD.DS.SC.BDGVTS5.HST&start=01-01-2021&end=&snapshot=&submitOptions.x=0&submitOptions.y=0&trans=N
,FM.B.DE.USD.DS.SC.BDGVTS5.HST
,"GERMANY SEN 5YR Credit Default Swap, provided by DataStream"
Collection:,End of period (E)
Period\Unit:,[Points ]
,,obs. status,obs. confidentiality
2026-01-30,7.5900000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-01-29,7.5470000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-01-28,7.5460000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-01-27,7.5520000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-01-26,7.5290000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-01-23,7.5230000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-01-22,7.3710000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-01-21,7.4410000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-01-20,7.5910000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-01-19,7.5090000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-01-16,7.3120000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-01-15,7.0990000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-01-14,7.3390000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-01-13,7.3230000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-01-12,7.4110000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-01-09,7.4630000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-01-08,7.4650000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-01-07,7.5370000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-01-06,7.5020000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-01-05,7.4910000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-01-02,7.4810000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-01-01,7.2750000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-12-31,7.2680000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-12-30,7.4740000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-12-29,7.4990000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-12-26,7.3220000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-12-25,7.3070000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-12-24,7.2540000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-12-23,7.6660000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-12-22,7.4970000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-12-19,7.7680000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-12-18,7.9070000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-12-17,7.6850000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-12-16,7.6460000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-12-15,7.8140000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-12-12,7.9650000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-12-11,7.7680000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-12-10,7.8190000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-12-09,7.8810000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-12-08,7.5430000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-12-05,8.2090000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-12-04,7.9590000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-12-03,7.9290000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-12-02,7.9410000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-12-01,7.9530000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-11-28,8.1620000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-11-27,8.2430000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-11-26,8.2930000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-11-25,8.4300000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-11-24,8.2200000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-11-21,8.4800000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-11-20,8.2550000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-11-19,8.3700000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-11-18,8.3560000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-11-17,8.1410000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-11-14,7.9150000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-11-13,8.1390000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-11-12,8.5780000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-11-11,8.6610000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-11-10,8.6220000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-11-07,8.7750000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-11-06,8.8350000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-11-05,8.8190000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-11-04,8.9100000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-11-03,8.7270000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-10-31,8.7400000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-10-30,8.7500000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-10-29,8.8350000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-10-28,8.8540000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-10-27,8.8250000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-10-24,8.9050000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-10-23,8.8590000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-10-22,8.9690000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-10-21,8.8230000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-10-20,8.7250000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-10-17,8.8850000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-10-16,8.7320000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-10-15,8.6390000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-10-14,8.8370000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-10-13,8.7170000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-10-10,8.8490000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-10-09,8.8330000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-10-08,8.7260000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-10-07,8.8150000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-10-06,8.6950000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-10-03,8.7970000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-10-02,8.8550000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-10-01,8.8560000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-09-30,8.8730000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-09-29,8.7420000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-09-26,8.8030000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-09-25,9.1050000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-09-24,8.5570000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-09-23,8.8280000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-09-22,8.4780000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-09-19,7.2270000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-09-18,7.4460000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-09-17,7.1830000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-09-16,7.3140000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-09-15,7.0640000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-09-12,7.6620000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-09-11,7.5520000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-09-10,7.6480000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-09-09,7.8830000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-09-08,8.1480000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-09-05,7.9980000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-09-04,8.1290000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-09-03,8.5780000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-09-02,8.1880000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-09-01,8.1440000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-08-29,8.3700000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-08-28,8.2720000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-08-27,8.0170000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-08-26,7.9780000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-08-25,7.6430000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-08-22,7.5100000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-08-21,8.1050000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-08-20,7.9030000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-08-19,8.0500000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-08-18,7.7570000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-08-15,7.6260000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-08-14,7.5950000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-08-13,7.9950000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-08-12,7.6820000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-08-11,7.5940000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-08-08,7.9900000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-08-07,7.8020000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-08-06,7.9910000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-08-05,8.0350000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-08-04,8.3240000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-08-01,8.3480000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-07-31,8.1280000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-07-30,8.1970000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-07-29,8.4630000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-07-28,7.9430000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-07-25,8.2840000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-07-24,7.8250000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-07-23,8.3910000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-07-22,8.3840000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-07-21,8.6430000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-07-18,8.4380000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-07-17,8.4910000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-07-16,8.2310000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-07-15,8.3920000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-07-14,8.1070000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-07-11,8.6050000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-07-10,8.4960000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-07-09,8.6550000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-07-08,8.7530000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-07-07,8.5380000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-07-04,8.5320000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-07-03,8.8170000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-07-02,8.7590000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-07-01,8.7320000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-06-30,8.7860000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-06-27,8.8010000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-06-26,8.5950000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-06-25,8.8960000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-06-24,9.0540000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-06-23,9.1380000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-06-20,9.4300000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-06-19,9.5230000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-06-18,9.1750000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-06-17,9.1890000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-06-16,9.5150000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-06-13,9.5880000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-06-12,9.6310000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-06-11,9.3180000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-06-10,9.9530000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-06-09,10.0490000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-06-06,10.4950000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-06-05,10.2380000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-06-04,10.6690000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-06-03,10.6770000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-06-02,11.3870000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-05-30,11.8590000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-05-29,12.0810000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-05-28,12.0480000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-05-27,12.0710000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-05-26,12.0480000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-05-23,12.1640000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-05-22,12.4790000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-05-21,12.4770000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-05-20,12.5580000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-05-19,12.7750000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-05-16,12.7910000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-05-15,12.7240000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-05-14,12.7470000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-05-13,12.4960000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-05-12,12.6530000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-05-09,12.7190000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-05-08,12.7590000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-05-07,12.8010000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-05-06,12.6850000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-05-05,12.9980000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-05-02,12.9150000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-05-01,13.0080000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-04-30,12.9650000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-04-29,13.0130000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-04-28,13.0110000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-04-25,12.9340000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-04-24,12.9780000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-04-23,13.2780000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-04-22,13.8120000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-04-21,13.4270000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-04-18,13.5200000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-04-17,13.5370000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-04-16,13.4990000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-04-15,13.3730000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-04-14,13.6960000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-04-11,14.1170000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-04-10,13.9550000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-04-09,14.4040000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-04-08,13.7640000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-04-07,14.4860000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-04-04,13.7670000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-04-03,13.7890000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-04-02,13.5390000,Normal value (A),Not for publication, restricted for internal use only (N)
2025-04-01,13.4610000,Normal value (A),Not for publication, restricted for internal use only (N)
